"track_id","locale","setting_name","setting_value","setting_type"
"98","pt_BR","title","PIRANHAS","string"
"98","pt_BR","abbrev","PIR","string"
"98","pt_BR","policy","<object id=""fa3b1939-e838-858e-1878-d9bdf9948391"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"98","pt_BR","identifyType","\N","string"
"91","pt_BR","title","ARAPIRACA","string"
"91","pt_BR","policy","<object id=""6ac8dbe9-49db-a8b5-988b-8a8b899885a6"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"94","pt_BR","policy","<object id=""991b8bba-a909-adb5-b978-18ba18909d94"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"99","pt_BR","title","SANTANA DO IPANEMA","string"
"99","pt_BR","abbrev","SAN","string"
"99","pt_BR","policy","<object id=""092b7a88-28fb-8fa9-99bb-08bc0981a08f"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"99","pt_BR","identifyType","\N","string"
"100","pt_BR","title","SÃO MIGUEL","string"
"100","pt_BR","abbrev","SAM","string"
"100","pt_BR","policy","<object id=""ca18fa5a-985b-84a0-7bba-2ba58b8bac8b"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"100","pt_BR","identifyType","\N","string"
"101","pt_BR","title","SATUBA","string"
"101","pt_BR","abbrev","SAT","string"
"101","pt_BR","policy","<object id=""88f9bb1a-0bcb-ba9a-cb79-f9b408b492b3"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"101","pt_BR","identifyType","\N","string"
"131","pt_BR","title","Submissões gerais","string"
"131","pt_BR","abbrev","GEN","string"
"131","pt_BR","policy","\N","string"
"121","pt_BR","identifyType","\N","string"
"119","pt_BR","abbrev","CET","string"
"111","pt_BR","title","CIÊNCIAS DA SAÚDE","string"
"111","pt_BR","abbrev","CS","string"
"111","pt_BR","policy","\N","string"
"111","pt_BR","identifyType","\N","string"
"113","pt_BR","title","CIÊNCIAS SOCIAIS APLICADAS","string"
"114","pt_BR","identifyType","\N","string"
"135","pt_BR","abbrev","EE","string"
"115","pt_BR","abbrev","LLA","string"
"115","pt_BR","policy","\N","string"
"112","pt_BR","abbrev","CH","string"
"112","pt_BR","policy","\N","string"
"112","pt_BR","identifyType","\N","string"
"119","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA","string"
"115","pt_BR","identifyType","\N","string"
"114","pt_BR","title","ENGENHARIAS","string"
"113","pt_BR","abbrev","CSA","string"
"113","pt_BR","policy","\N","string"
"113","pt_BR","identifyType","\N","string"
"117","pt_BR","title","MULTIDISCIPLINAR","string"
"114","pt_BR","abbrev","ENG","string"
"114","pt_BR","policy","\N","string"
"117","pt_BR","abbrev","MD","string"
"117","pt_BR","policy","\N","string"
"117","pt_BR","identifyType","\N","string"
